image_path,label,split
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/LMA/train/04479-7.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04388d39-vs-04428d227.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04485d64-vs-04506d39.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/LMA/train/04410d164-vs-04471d79.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/MIPGAN_I/train/04400-14.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/LMA/train/04407-3.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/LMA/train/04388d39-vs-04511d49.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04410d164-vs-04481d83.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/LMA/train/04485d64-vs-04558d38.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04417d78-vs-04511d49.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04511d49-vs-04577d61.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/MIPGAN_I/train/04437-1.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04471d79-vs-04522d100.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04376d103-vs-04524d52.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04509d246-vs-04535d43.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/LMA/train/04520-2.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/bonafide/LMA/train/04411-6.jpg,0,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/LMA/train/04514d298-vs-04530d88.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/LMA/train/04411d26-vs-04460d222.jpg,1,train
C:/Users/Siam/Desktop/SIAM_Datasets/SelfMAD_Combined_final_iv/datasets/morph/MIPGAN_I/train/04417d78-vs-04481d83.jpg,1,train
